user_sn,2score
2697,62.69876977
4381,67.72552003
4561,67.47442189
6802,70.11119373
6828,87.12863001
8634,12.23366639
11303,29.13789009
11312,66.24506889
13328,61.38589003
14314,65.04757287
14503,66.24506889
15995,66.24506889
17422,87.91960805
20034,66.24506889
23061,56.33635258
23250,56.75219684
23415,68.81168041
30835,92.27717801
32737,66.24506889
38371,66.24506889
38614,66.24506889
42229,44.77767069
42415,47.92409023
46696,28.58773243
49363,66.24506889
50836,66.24506889
54952,66.24506889
62947,83.36622955
65038,66.24506889
75997,82.89248293
79642,49.65022916
80380,0
82762,65.14003961
87634,92.27717801
104242,66.24506889
106042,66.24506889
106132,14.92742582
106735,66.24506889
108139,44.22406338
108343,66.24506889
108886,65.63998689
112627,66.24506889
122299,35.08572852
122416,66.24506889
128878,66.24506889
128932,66.24506889
143197,66.24506889
143323,88.41576701
149800,92.69462784
162052,66.24506889
163096,100
169813,85.38925569
174793,66.85015088
175582,46.07339815
183190,46.45632962
189454,49.98408591
195388,88.73755126
200920,66.24506889
201286,66.24506889
203770,66.24506889
209884,61.75017409
212767,21.12733059
216079,95.33967638
216784,39.75268385
221236,86.48506151
223594,66.24506889
224032,87.12863001
225274,70.33306185
232372,66.24506889
243283,66.24506889
246112,66.24506889
247933,83.10632689
250399,41.05186404
255091,66.24506889
260608,74.12033055
260818,66.24506889
269746,66.24506889
270670,56.23002876
272512,76.49575915
272527,34.8102967
278962,66.24506889
283450,75.17664359
286321,33.26999121
286903,66.24506889
288079,66.24506889
296062,97.70933246
304753,96.99668034
307570,37.22093089
311086,66.24506889
311152,66.24506889
312031,85.56657055
313378,66.24506889
313897,66.24506889
314389,66.24506889
316786,95.64034242
